id	tweet	coding	sentiment
1465771359586369537	@MrFloppy999 @Shirley04101935 @talkRADIO Well it clearly is playing a part because there are 7 billion people on the planet and there have been 5 million ish deaths. More people have survived covid than have sadly passed from it.		
1465771691502616580	@aetiology To have polio + Covid vaccine campaigns together, yes, I think synergy would be there.		
1465771746565500932	@xCarolineSarahx I think Pfizer do a brilliant job of trolling #COVIDIOTS https://t.co/1feT2c4tfU		
1465771824848031761	Despite the ongoing vaccination effort, new daily cases of COVID-19 are beginning to rise once again in parts of the United States. To d ... https://t.co/XxzT83WgQG		
1465771320868749313	"I'm....not in the 'news media' or any media for that matter, but thanks, Thunderbird. 😷

P.s. Covid related death is very real. https://t.co/KoWcMAvfay"		
1465771466826436617	@abhijitmajumder It's worldwide rule... vaccination doesn't mean that the person will not hv covid , rest use your right to speak.		
1465771775778705410	"@gawtp @news_ntd Thanks for the videos of the Texas COVID-19 Summit!  

Unfortunately, the videos showed only the presenters but not the slides. Are the slides used by your presenters available?"		
1465771694803628037	@sarahkinder__ @StereotypGasman when was the government (which i profoundly dislike, by the was) ever inconsistent about the need for vaccination?		
1465771449805774850	@Timcast (Opinion) It's quite possible the people that orchestrate Covid response are smiling at this tweet. When you are ultra rich and/or powerful (usually both), people tend to lose the threads that tie them to humanity. To them, it seems, we are the pets.		
1465771567489687558	Kier Starmer likes to go the extra mile. Supports the governments plans to tackle omicron - he would like pre departure testing. #Omnicron #Covid_19		
1465771390460735488	COVID-19 live updates: Greece to mandate vaccines for people 60 and older - ABC News - https://t.co/ZuFSAPsGwU via @ABC		
1465771087166427141	Are they still giving Covid booster shots at the Pipkin Building here in Memphis? If so which days and times?		
1465771335204941839	"1/4  Lancet article debunking the 'Pandemic of the unvaccinated"".

This term was always about denigration and cheap scapegoating, not health.

""(UK)... week 39 and 42, ... 89.821 COVID-19 cases occurred among the fully vaccinated (89.7%), 3.395 among the unvaccinated (3.4%)"		
1465771730560069636	A recent paper by @mvlass @absidd @TabassumRahma20 @DebPakrashi @AsadIslamBD @FirozAhmed_BD  analyzed an over-the-phone counseling intervention delivered by locally trained para-counselors designed to mitigate adverse effects of the COVID-19 pandemic in Bangladesh		
1465771190719594496	@Styx666Official shame there's no spirit left in us, too many romanians bow to this new covid religion just like everyone else...		
1465771151108444166	@RossAndRussel I have been thinking this for a https://t.co/jFaIPiNozv 6 months the first dose is almost ineffective so to boost it up they should overlap. I know 2 HCW who were due for the booster who ended up getting Covid a week before their booster was due(both double vaxed)		
1465771085597749257	"Yes, folks, some people actually want the #unvaccinated KILLED: 'We can cut out 30% of the population that votes the wrong way' @JennaEllisEsq #VaccineMandates #Covid_19 
https://t.co/SMuYoKn2ub"		
1465771538372825095	"Tunisia 🇹🇳 COVID-19 current stats for Tue Nov 30 2021

Cases: 717,309
Deaths: 25,365
Recovered: 690,903
Active: 1,041
Tests: 3,170,783
Doses: 10,416,390

#covid_tn
https://t.co/tLpGktBeki https://t.co/EOnGZImB4s"		
1465771743138791427	UK Covid-19: Boosters for everyone over 18 to fight Omicron variant https://t.co/uzrU12aHuZ via @YouTube professional lairs		
1465771553761763332	@SandraToFriends Can I just throw some realism in here? Vaccination had started here when Delta took off. In places like India it was a catastrophe, and it’s been estimated that as many as 5 million may have died there. It was more infectious and just as deadly. Vaccination made the difference.		
1465771445439582219	@GoodBoyBen72 @dooz_er I do. You think covid was invented to control people. You’re extremely unintelligent and i feel bad for your loved ones!		
1465771617976389632	"@kpavonescooter @RepMontague Because there are 330Million people in the country and 3Million people die every year.

What's with the stupid question?  You truly believe there is no such thing as natural immunity for Covid-19?"		
1465771757319585792	@DavidCa73633436 @StuartMcCandli4 @tool7302 @GazJ2K @janemerrick23 @PeacockFlu @theipaper Mean I have to or anyone else for that matter. We all live with our choices in the end. Funny you mention that, people i know who have worked in the ICU on covid patients since this started will tell you otherwise, but its not like the truth will be told if having covid patients		
1465771774155575297	"@secondprspctive @Manning4USCong @RepSwalwell The risk is not zero.   And it’s not just about dying, kids develop long-haul Covid and myocardial infections.

Spare ME.  And if one of those kids was your kids? He would feel exactly the same way that I do – one child is one too many."		
1465771361218048000	@AnaCabrera Oh hell no!!! he is another QUACK doctor and he absolutely lied about covid-19!!! We don't need no more Quacks believe me I live in Florida!!!! Vote for @JohnFetterman		
1465771600951787521	FIRST from @ckubeNBC: Defense Sec. Austin has ordered all members of the National Guard &amp; Reserve must receive Covid vaccines or face loss of pay &amp; being marked absent without cause from drills &amp; training, according to a copy of memo obtained by @NBCNews.👇https://t.co/1pqa61pjcl		
1465771294247559172	@Racer05X @JenniferNuzzo @TorontoIDDoc If you need a real simple example. My son complained of a sore throat a week ago he's currently in school grade 5. I checked him and he had a fever so immediately we put him in his room until we could get a covid test done. Came back negative, he rejoined us in the family room.		
1465771212521590790	…meanwhile the MOH portal won’t let me in to get my vaccination certificate 😬		
1465770984548573194	@TheO2 @Lil_Pino22 @DBlockEurope @YoungAdz1 @DIRTBIKE_LB Do under 18s need a covid test?		
1465771390561366024	"@Mikenotsoyeadon Covid Hospitalisations - 0
Covid Deaths - 0

Vaccine Deaths - 2
Vaccine Hospitalisations - 2"		
1465770995147587593	No more phone calls at dinner, on vacation, at 6 am on days off. No more sideways looks for admitting you were in the room with the guy who tested positive for covid. No more sideways looks for testing positive and having to quarantine.2/		
1465770978101899268	"Resisting COVID Tyranny

https://t.co/Lf5BKTvENH"		
1465771195601760264	@letsaskanexpert @Sheardo32 @piersmorgan I'm talking the covid vaccine.  The number 1 factor for people having a rough bout with covid is obesity. We should be prioritizing healthy lifestyles...eating well, and regular exercise.		
1465771662004084737	"Why did WHO skip Nu and Xi in naming Omicron? Nu would cause too much confusion with ""new"" and Xi is a common  surname. 
https://t.co/1JAQxYGFrV"		
1465771745575682051	COVID better not ruin this Europe trip for 2022.		
1465771836835307524	Contact tracing is central to managing COVID-19 (especially now with Omicron). But engagement with NHS Test and Trace @NHSTestTrace by those with symptoms often low. Can we predict who engages? Past research focused on sociodemographic factors, but we look at psychological ones.		
1465771801628319754	@jimcramer I saw ur piece on the vaccines. It seems the only incubators for Covid are those already vaxxed. you have zero idea who has medical problems or religious objections to the vax. And many r dying from it. Stick to finances &amp; leave this to man &amp; his God.		
1465771633092677636	@Hyperperception @sjtrades8 @TheEconomist I’m not cornered. The vaccine prevents healthcare workers from being overwhelmed, prevents hospitalisation, and it does make covid weaker, resulting in less cases. I just don’t want to argue with someone who acts like a couple words are so fucking heinous		
1465771231492419593	@FedLawClerk @anarcho70 @tassthegreek @ZubyMusic @ZubyMusic now they want distinguish between dying of covid and dying with covid when vaccinated are dying the most. 😆		
1465771125305192461	Flashback—&gt;COVID Is Becoming the Afghanistan of Pandemics https://t.co/3iQVBTFi63		
1465771285783453698	@Franklin_Graham Anti-COVID vaccine Christian broadcaster, dies at 64. Does that surprise anyone? He'd be alive if he hadn't been an idiot. Get vaccinated!!!		
1465771152199069696	@AbraarKaran Anyone know if data is available on the number of people who have caught covid more than once?		
1465771746590486532	@NeolithicSheep with air travel down due to covid he took quite the financial beating, from people no longer furtively buying his shit to indulge in lol		
1465771688419856401	Three Foreign Pilgrims Of Covid Positive Went To Country https://t.co/tgAlvykErC		
1465771336098365452	"Annual #Immunisation Coverage Report 2020 ... 
https://t.co/p1PAvxSXYO
#Aboriginal #AboriginalAndTorresStraitIslander #Adolescent #Australia #Australian #Childhood #Director #Disadvantaged #HPV #HumanPapillomavirus #Influenza #Surveillance #Vaccination #Vaccines #Victoria https://t.co/qshpZy94Mv"		
1465771763468546056	"@SouthernVectis I caught covid at Christmas last year and the only place I was in close proximity to for an extended period was travelling on the buses
It worries me that people are not wearing them and do not seem to think that they should"		
1465771398379495439	"@CBCAlerts @CBCNews And how many more in Ontario died due to cancelled surgeries?
""Thousands of Canadians died because COVID-19 delayed surgeries, doctors say""
Full data is not available
Partial data for the country: more than 4,000 for the period August to December 2020. https://t.co/dMsdxamIL2"		
1465771621025816577	COVID-19 Vaccine Covaxin for 2-18 Years: Centre Examining Expert Committee’s Recommendations, Informs Union Health Ministry in Rajya Sabha https://t.co/rNYzYTIJnq		
1465771108871852032	@RepSwalwell And you’re a complete fool! Read the science. Vax is only for my protection, not your kids. Vaxed are spreading Covid as fast as Unvaxxed! Look it up!		
1465771298991136771	@SneakYxSnow @Be4everthankful @DineshDSouza I am not convinced based what I have seen globally that Covid is not more deadly than the flu. I don’t think the fed should force private or public orgs not funded by feds but hospitals or businesses should have the right to require it of their employees if they want.		
