id	tweet	coding	sentiment	notes
1.46577135958637e+18	@MrFloppy999 @Shirley04101935 @talkRADIO Well it clearly is playing a part because there are 7 billion people on the planet and there have been 5 million ish deaths. More people have survived covid than have sadly passed from it.	antivaccine analysis	neutral	
1.46577169150262e+18	@aetiology To have polio + Covid vaccine campaigns together, yes, I think synergy would be there.	provaccine commentary	positive	
1.4657717465655e+18	@xCarolineSarahx I think Pfizer do a brilliant job of trolling #COVIDIOTS https://t.co/1feT2c4tfU	provaccine commentary	negative	
1.46577182484803e+18	Despite the ongoing vaccination effort, new daily cases of COVID-19 are beginning to rise once again in parts of the United States. To d ... https://t.co/XxzT83WgQG	news	negative	
1.46577132086875e+18	I'm....not in the 'news media' or any media for that matter, but thanks, Thunderbird. 😷  P.s. Covid related death is very real. https://t.co/KoWcMAvfay	provaccine commentary	negative	
1.46577146682644e+18	@abhijitmajumder It's worldwide rule... vaccination doesn't mean that the person will not hv covid , rest use your right to speak.	neutral commentary	neutral	
1.46577177577871e+18	@gawtp @news_ntd Thanks for the videos of the Texas COVID-19 Summit!    Unfortunately, the videos showed only the presenters but not the slides. Are the slides used by your presenters available?	neutral commentary	positive	
1.46577169480363e+18	@sarahkinder__ @StereotypGasman when was the government (which i profoundly dislike, by the was) ever inconsistent about the need for vaccination?	provaccine commentary	negative	
1.46577144980577e+18	@Timcast (Opinion) It's quite possible the people that orchestrate Covid response are smiling at this tweet. When you are ultra rich and/or powerful (usually both), people tend to lose the threads that tie them to humanity. To them, it seems, we are the pets.	antivaccine commentary	negative	
1.46577156748969e+18	Kier Starmer likes to go the extra mile. Supports the governments plans to tackle omicron - he would like pre departure testing. #Omnicron #Covid_19	provaccine commentary	positive	
1.46577139046074e+18	COVID-19 live updates: Greece to mandate vaccines for people 60 and older - ABC News - https://t.co/ZuFSAPsGwU via @ABC	news	neutral	
1.46577108716643e+18	Are they still giving Covid booster shots at the Pipkin Building here in Memphis? If so which days and times?	provaccine commentary	positive	
1.46577133520494e+18	1/4  Lancet article debunking the 'Pandemic of the unvaccinated".  This term was always about denigration and cheap scapegoating, not health.  "(UK)... week 39 and 42, ... 89.821 COVID-19 cases occurred among the fully vaccinated (89.7%), 3.395 among the unvaccinated (3.4%)	antivaccine analysis	negative	
1.46577173056007e+18	A recent paper by @mvlass @absidd @TabassumRahma20 @DebPakrashi @AsadIslamBD @FirozAhmed_BD  analyzed an over-the-phone counseling intervention delivered by locally trained para-counselors designed to mitigate adverse effects of the COVID-19 pandemic in Bangladesh	neutral commentary	neutral	
1.46577119071959e+18	@Styx666Official shame there's no spirit left in us, too many romanians bow to this new covid religion just like everyone else...	antivaccine commentary	negative	
1.46577115110844e+18	@RossAndRussel I have been thinking this for a https://t.co/jFaIPiNozv 6 months the first dose is almost ineffective so to boost it up they should overlap. I know 2 HCW who were due for the booster who ended up getting Covid a week before their booster was due(both double vaxed)	neutral commentary	neutral	
1.46577108559775e+18	Yes, folks, some people actually want the #unvaccinated KILLED: 'We can cut out 30% of the population that votes the wrong way' @JennaEllisEsq #VaccineMandates #Covid_19  https://t.co/SMuYoKn2ub	antivaccine commentary	negative	
1.46577153837283e+18	Tunisia 🇹🇳 COVID-19 current stats for Tue Nov 30 2021  Cases: 717,309 Deaths: 25,365 Recovered: 690,903 Active: 1,041 Tests: 3,170,783 Doses: 10,416,390  #covid_tn https://t.co/tLpGktBeki https://t.co/EOnGZImB4s	news	neutral	
1.46577174313879e+18	UK Covid-19: Boosters for everyone over 18 to fight Omicron variant https://t.co/uzrU12aHuZ via @YouTube professional lairs	news	negative	
1.46577155376176e+18	@SandraToFriends Can I just throw some realism in here? Vaccination had started here when Delta took off. In places like India it was a catastrophe, and it’s been estimated that as many as 5 million may have died there. It was more infectious and just as deadly. Vaccination made the difference.	provaccine analysis	positive	
1.46577144543958e+18	@GoodBoyBen72 @dooz_er I do. You think covid was invented to control people. You’re extremely unintelligent and i feel bad for your loved ones!	provaccine commentary	negative	
1.46577161797639e+18	@kpavonescooter @RepMontague Because there are 330Million people in the country and 3Million people die every year.  What's with the stupid question?  You truly believe there is no such thing as natural immunity for Covid-19?	antivaccine analysis	negative	
1.46577175731959e+18	@DavidCa73633436 @StuartMcCandli4 @tool7302 @GazJ2K @janemerrick23 @PeacockFlu @theipaper Mean I have to or anyone else for that matter. We all live with our choices in the end. Funny you mention that, people i know who have worked in the ICU on covid patients since this started will tell you otherwise, but its not like the truth will be told if having covid patients	neutral commentary	negative	
